agreement	disagreement	number	subject_index	verb_index	completed
Het meisje onder Barbara begrijpt	Het meisje onder Barbara begrijpen	singular	1	4	Het meisje onder Barbara begrijpt de persoon.
Het meisje onder Barbara verwart	Het meisje onder Barbara verwarren	singular	1	4	Het meisje onder Barbara verwart de persoon.
Het meisje onder Barbara bemoedigt	Het meisje onder Barbara bemoedigen	singular	1	4	Het meisje onder Barbara bemoedigt de persoon.
Het meisje onder Barbara bekritiseert	Het meisje onder Barbara bekritiseren	singular	1	4	Het meisje onder Barbara bekritiseert de persoon.
Het meisje onder Barbara inspireert	Het meisje onder Barbara inspireren	singular	1	4	Het meisje onder Barbara inspireert de persoon.
Het meisje onder Barbara vermijdt	Het meisje onder Barbara vermijden	singular	1	4	Het meisje onder Barbara vermijdt de persoon.
Het meisje onder Barbara observeert	Het meisje onder Barbara observeren	singular	1	4	Het meisje onder Barbara observeert de persoon.
Het meisje onder Barbara groet	Het meisje onder Barbara groeten	singular	1	4	Het meisje onder Barbara groet de persoon.
Het meisje onder Barbara onthoudt	Het meisje onder Barbara onthouden	singular	1	4	Het meisje onder Barbara onthoudt de persoon.
Het meisje onder Barbara kent	Het meisje onder Barbara kennen	singular	1	4	Het meisje onder Barbara kent de persoon.
Het meisje onder Pat bewondert	Het meisje onder Pat bewonderen	singular	1	4	Het meisje onder Pat bewondert de persoon.
Het meisje onder Pat stimuleert	Het meisje onder Pat stimuleren	singular	1	4	Het meisje onder Pat stimuleert de persoon.
Het meisje onder Pat ontmoedigt	Het meisje onder Pat ontmoedigen	singular	1	4	Het meisje onder Pat ontmoedigt de persoon.
Het meisje onder Pat begrijpt	Het meisje onder Pat begrijpen	singular	1	4	Het meisje onder Pat begrijpt de persoon.
Het meisje onder Pat verwart	Het meisje onder Pat verwarren	singular	1	4	Het meisje onder Pat verwart de persoon.
Het meisje onder Pat bemoedigt	Het meisje onder Pat bemoedigen	singular	1	4	Het meisje onder Pat bemoedigt de persoon.
Het meisje onder Pat bekritiseert	Het meisje onder Pat bekritiseren	singular	1	4	Het meisje onder Pat bekritiseert de persoon.
Het meisje onder Pat inspireert	Het meisje onder Pat inspireren	singular	1	4	Het meisje onder Pat inspireert de persoon.
Het meisje onder Pat vermijdt	Het meisje onder Pat vermijden	singular	1	4	Het meisje onder Pat vermijdt de persoon.
Het meisje onder Pat observeert	Het meisje onder Pat observeren	singular	1	4	Het meisje onder Pat observeert de persoon.
Het meisje onder Pat groet	Het meisje onder Pat groeten	singular	1	4	Het meisje onder Pat groet de persoon.
Het meisje onder Pat onthoudt	Het meisje onder Pat onthouden	singular	1	4	Het meisje onder Pat onthoudt de persoon.
Het meisje onder Pat kent	Het meisje onder Pat kennen	singular	1	4	Het meisje onder Pat kent de persoon.
Het meisje onder Bill bewondert	Het meisje onder Bill bewonderen	singular	1	4	Het meisje onder Bill bewondert de persoon.
Het meisje onder Bill stimuleert	Het meisje onder Bill stimuleren	singular	1	4	Het meisje onder Bill stimuleert de persoon.
Het meisje onder Bill ontmoedigt	Het meisje onder Bill ontmoedigen	singular	1	4	Het meisje onder Bill ontmoedigt de persoon.
Het meisje onder Bill begrijpt	Het meisje onder Bill begrijpen	singular	1	4	Het meisje onder Bill begrijpt de persoon.
Het meisje onder Bill verwart	Het meisje onder Bill verwarren	singular	1	4	Het meisje onder Bill verwart de persoon.
Het meisje onder Bill bemoedigt	Het meisje onder Bill bemoedigen	singular	1	4	Het meisje onder Bill bemoedigt de persoon.
Het meisje onder Bill bekritiseert	Het meisje onder Bill bekritiseren	singular	1	4	Het meisje onder Bill bekritiseert de persoon.
Het meisje onder Bill inspireert	Het meisje onder Bill inspireren	singular	1	4	Het meisje onder Bill inspireert de persoon.
Het meisje onder Bill vermijdt	Het meisje onder Bill vermijden	singular	1	4	Het meisje onder Bill vermijdt de persoon.
Het meisje onder Bill observeert	Het meisje onder Bill observeren	singular	1	4	Het meisje onder Bill observeert de persoon.
Het meisje onder Bill groet	Het meisje onder Bill groeten	singular	1	4	Het meisje onder Bill groet de persoon.
Het meisje onder Bill onthoudt	Het meisje onder Bill onthouden	singular	1	4	Het meisje onder Bill onthoudt de persoon.
Het meisje onder Bill kent	Het meisje onder Bill kennen	singular	1	4	Het meisje onder Bill kent de persoon.
Het meisje onder Bob bewondert	Het meisje onder Bob bewonderen	singular	1	4	Het meisje onder Bob bewondert de persoon.
Het meisje onder Bob stimuleert	Het meisje onder Bob stimuleren	singular	1	4	Het meisje onder Bob stimuleert de persoon.
Het meisje onder Bob ontmoedigt	Het meisje onder Bob ontmoedigen	singular	1	4	Het meisje onder Bob ontmoedigt de persoon.
Het meisje onder Bob begrijpt	Het meisje onder Bob begrijpen	singular	1	4	Het meisje onder Bob begrijpt de persoon.
Het meisje onder Bob verwart	Het meisje onder Bob verwarren	singular	1	4	Het meisje onder Bob verwart de persoon.
Het meisje onder Bob bemoedigt	Het meisje onder Bob bemoedigen	singular	1	4	Het meisje onder Bob bemoedigt de persoon.
Het meisje onder Bob bekritiseert	Het meisje onder Bob bekritiseren	singular	1	4	Het meisje onder Bob bekritiseert de persoon.
Het meisje onder Bob inspireert	Het meisje onder Bob inspireren	singular	1	4	Het meisje onder Bob inspireert de persoon.
Het meisje onder Bob vermijdt	Het meisje onder Bob vermijden	singular	1	4	Het meisje onder Bob vermijdt de persoon.
Het meisje onder Bob observeert	Het meisje onder Bob observeren	singular	1	4	Het meisje onder Bob observeert de persoon.
Het meisje onder Bob groet	Het meisje onder Bob groeten	singular	1	4	Het meisje onder Bob groet de persoon.
Het meisje onder Bob onthoudt	Het meisje onder Bob onthouden	singular	1	4	Het meisje onder Bob onthoudt de persoon.
Het meisje onder Bob kent	Het meisje onder Bob kennen	singular	1	4	Het meisje onder Bob kent de persoon.
Het meisje onder Sue bewondert	Het meisje onder Sue bewonderen	singular	1	4	Het meisje onder Sue bewondert de persoon.
Het meisje onder Sue stimuleert	Het meisje onder Sue stimuleren	singular	1	4	Het meisje onder Sue stimuleert de persoon.
Het meisje onder Sue ontmoedigt	Het meisje onder Sue ontmoedigen	singular	1	4	Het meisje onder Sue ontmoedigt de persoon.
Het meisje onder Sue begrijpt	Het meisje onder Sue begrijpen	singular	1	4	Het meisje onder Sue begrijpt de persoon.
Het meisje onder Sue verwart	Het meisje onder Sue verwarren	singular	1	4	Het meisje onder Sue verwart de persoon.
Het meisje onder Sue bemoedigt	Het meisje onder Sue bemoedigen	singular	1	4	Het meisje onder Sue bemoedigt de persoon.
Het meisje onder Sue bekritiseert	Het meisje onder Sue bekritiseren	singular	1	4	Het meisje onder Sue bekritiseert de persoon.
Het meisje onder Sue inspireert	Het meisje onder Sue inspireren	singular	1	4	Het meisje onder Sue inspireert de persoon.
Het meisje onder Sue vermijdt	Het meisje onder Sue vermijden	singular	1	4	Het meisje onder Sue vermijdt de persoon.
Het meisje onder Sue observeert	Het meisje onder Sue observeren	singular	1	4	Het meisje onder Sue observeert de persoon.
Het meisje onder Sue groet	Het meisje onder Sue groeten	singular	1	4	Het meisje onder Sue groet de persoon.
Het meisje onder Sue onthoudt	Het meisje onder Sue onthouden	singular	1	4	Het meisje onder Sue onthoudt de persoon.
Het meisje onder Sue kent	Het meisje onder Sue kennen	singular	1	4	Het meisje onder Sue kent de persoon.
Het meisje onder Mary bewondert	Het meisje onder Mary bewonderen	singular	1	4	Het meisje onder Mary bewondert de persoon.
Het meisje onder Mary stimuleert	Het meisje onder Mary stimuleren	singular	1	4	Het meisje onder Mary stimuleert de persoon.
Het meisje onder Mary ontmoedigt	Het meisje onder Mary ontmoedigen	singular	1	4	Het meisje onder Mary ontmoedigt de persoon.
Het meisje onder Mary begrijpt	Het meisje onder Mary begrijpen	singular	1	4	Het meisje onder Mary begrijpt de persoon.
Het meisje onder Mary verwart	Het meisje onder Mary verwarren	singular	1	4	Het meisje onder Mary verwart de persoon.
Het meisje onder Mary bemoedigt	Het meisje onder Mary bemoedigen	singular	1	4	Het meisje onder Mary bemoedigt de persoon.
Het meisje onder Mary bekritiseert	Het meisje onder Mary bekritiseren	singular	1	4	Het meisje onder Mary bekritiseert de persoon.
Het meisje onder Mary inspireert	Het meisje onder Mary inspireren	singular	1	4	Het meisje onder Mary inspireert de persoon.
Het meisje onder Mary vermijdt	Het meisje onder Mary vermijden	singular	1	4	Het meisje onder Mary vermijdt de persoon.
Het meisje onder Mary observeert	Het meisje onder Mary observeren	singular	1	4	Het meisje onder Mary observeert de persoon.
Het meisje onder Mary groet	Het meisje onder Mary groeten	singular	1	4	Het meisje onder Mary groet de persoon.
Het meisje onder Mary onthoudt	Het meisje onder Mary onthouden	singular	1	4	Het meisje onder Mary onthoudt de persoon.
Het meisje onder Mary kent	Het meisje onder Mary kennen	singular	1	4	Het meisje onder Mary kent de persoon.
Het meisje nabij Barbara bewondert	Het meisje nabij Barbara bewonderen	singular	1	4	Het meisje nabij Barbara bewondert de persoon.
Het meisje nabij Barbara stimuleert	Het meisje nabij Barbara stimuleren	singular	1	4	Het meisje nabij Barbara stimuleert de persoon.
